Element,Symbol,Atomic_Weight,Atomic_Number
Hydrogen,H,1.008,1
Helium,He,4.003,2
Lithium,Li,6.941,3
Beryllium,Be,9.012,4
Boron,B,10.811,5
Carbon,C,12.011,6
Nitrogen,N,14.007,7
Oxygen,O,15.999,8
Fluorine,F,18.998,9
Neon,Ne,20.180,10
Sodium,Na,22.990,11
Magnesium,Mg,24.305,12
Aluminum,Al,26.982,13
Silicon,Si,28.086,14
Phosphorus,P,30.974,15
Sulfur,S,32.065,16
Chlorine,Cl,35.453,17
Argon,Ar,39.948,18
Potassium,K,39.098,19
Calcium,Ca,40.078,20
Scandium,Sc,44.956,21
Titanium,Ti,47.867,22
Vanadium,V,50.942,23
Chromium,Cr,51.996,24
Manganese,Mn,54.938,25
Iron,Fe,55.845,26
Cobalt,Co,58.933,27
Nickel,Ni,58.693,28
Copper,Cu,63.546,29
Zinc,Zn,65.38,30
Gallium,Ga,69.723,31
Germanium,Ge,72.64,32
Arsenic,As,74.922,33
Selenium,Se,78.96,34
Bromine,Br,79.904,35
Krypton,Kr,83.80,36
Rubidium,Rb,85.468,37
Strontium,Sr,87.62,38
Yttrium,Y,88.906,39
Zirconium,Zr,91.224,40
Niobium,Nb,92.906,41
Molybdenum,Mo,95.94,42
Technetium,Tc,98.0,43
Ruthenium,Ru,101.07,44
Rhodium,Rh,102.906,45
Palladium,Pd,106.42,46
Silver,Ag,107.868,47
Cadmium,Cd,112.411,48
Indium,In,114.818,49
Tin,Sn,118.710,50
Antimony,Sb,121.760,51
Tellurium,Te,127.60,52
Iodine,I,126.904,53
Xenon,Xe,131.293,54
Cesium,Cs,132.905,55
Barium,Ba,137.327,56
Lanthanum,La,138.905,57
Cerium,Ce,140.116,58
Praseodymium,Pr,140.908,59
Neodymium,Nd,144.242,60
Promethium,Pm,145.0,61
Samarium,Sm,150.36,62
Europium,Eu,151.964,63
Gadolinium,Gd,157.25,64
Terbium,Tb,158.925,65
Dysprosium,Dy,162.500,66
Holmium,Ho,164.930,67
Erbium,Er,167.259,68
Thulium,Tm,168.934,69
Ytterbium,Yb,173.04,70
Lutetium,Lu,174.967,71
Hafnium,Hf,178.49,72
Tantalum,Ta,180.948,73
Tungsten,W,183.84,74
Rhenium,Re,186.207,75
Osmium,Os,190.23,76
Iridium,Ir,192.217,77
Platinum,Pt,195.078,78
Gold,Au,196.967,79
Mercury,Hg,200.59,80
Thallium,Tl,204.383,81
Lead,Pb,207.2,82
Bismuth,Bi,208.980,83
Polonium,Po,209.0,84
Astatine,At,210.0,85
Radon,Rn,222.0,86
Francium,Fr,223.0,87
Radium,Ra,226.0,88
Actinium,Ac,227.0,89
Thorium,Th,232.038,90
Protactinium,Pa,231.036,91
Uranium,U,238.029,92
Neptunium,Np,237.0,93
Plutonium,Pu,244.0,94
Americium,Am,243.0,95
Curium,Cm,247.0,96
Berkelium,Bk,247.0,97
Californium,Cf,251.0,98
Einsteinium,Es,252.0,99
Fermium,Fm,257.0,100 
